symbol,year,month,day,open,volume
Amazon,2011,7,13,10.735,84598000
Amazon,2011,7,14,10.679,78050000
Amazon,2011,7,15,10.654,81452000
Amazon,2011,7,18,10.6265,57962000
Amazon,2011,7,19,10.6885,88744000
Amazon,2011,7,20,11.0025,67458000
Amazon,2011,7,21,10.837,90906000
Amazon,2011,7,22,10.693,71834000
Amazon,2011,7,25,10.7745,66856000
Amazon,2011,7,26,10.7495,197272000
Amazon,2011,7,27,11.2195,259112000
Amazon,2011,7,28,11.1635,107098000
Amazon,2011,7,29,11.0645,103354000
Amazon,2011,8,1,11.25,115786000
Amazon,2011,8,2,11.016,131734000
Amazon,2011,8,3,10.6485,163942000
Amazon,2011,8,4,10.3365,131590000
Amazon,2011,8,5,10.2335,200480000
Amazon,2011,8,8,9.82,208550000
Amazon,2011,8,9,9.835,209824000
Amazon,2011,8,10,10.038,175152000
Amazon,2011,8,11,9.8505,148038000
Amazon,2011,8,12,10.014,112408000
Amazon,2011,8,15,10.103,95718000
Amazon,2011,8,16,10.057,104118000
Amazon,2011,8,17,9.9265,79822000
Amazon,2011,8,18,9.5605,165504000
Amazon,2011,8,19,9.0145,144884000
Amazon,2011,8,22,9.1415,106274000
Amazon,2011,8,23,8.946,147032000
Amazon,2011,8,24,9.6945,124974000
Amazon,2011,8,25,9.7205,75216000
Amazon,2011,8,26,9.562,106214000
Amazon,2011,8,29,10.141,90220000
Amazon,2011,8,30,10.289,118314000
Amazon,2011,8,31,10.6135,148100000
Amazon,2011,9,1,10.764,105506000
Amazon,2011,9,2,10.447,84640000
Amazon,2011,9,6,10.2385,124324000
Amazon,2011,9,7,10.94,105916000
Amazon,2011,9,8,10.915,87958000
Amazon,2011,9,9,10.7525,91486000
Amazon,2011,9,12,10.4375,106842000
Amazon,2011,9,13,10.8895,96718000
Amazon,2011,9,14,11.011,117634000
Amazon,2011,9,15,11.1995,112176000
Amazon,2011,9,16,11.3785,235060000
Amazon,2011,9,19,11.8555,164466000
